UID        PID  PPID  C STIME TTY          TIME CMD
nosiclin 12498     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_low2.conf
nosiclin 12499     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_low3.conf
nosiclin 12500     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_low4.conf
nosiclin 12501     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_low5.conf
nosiclin 12502     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_low6.conf
nosiclin 12503     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_low7.conf
nosiclin 12504     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_low8.conf
nosiclin 12505     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_low9.conf
nosiclin 12506     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_middle0.conf
nosiclin 12507     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_middle1.conf
nosiclin 12508     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_middle2.conf
nosiclin 12509     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_middle3.conf
nosiclin 12510     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_middle4.conf
nosiclin 12511     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_high0.conf
nosiclin 12512     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_high1.conf
nosiclin 12513     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_rich0.conf
nosiclin 12514     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_rich1.conf
nosiclin 12515     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/prop_zjhsvr_low0.conf
nosiclin 12516     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/prop_zjhsvr_low1.conf
nosiclin 12517     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/prop_zjhsvr_middle0.conf
nosiclin 12518     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/prop_zjhsvr_middle1.conf
nosiclin 12519     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/prop_zjhsvr_high0.conf
nosiclin 12520     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/prop_zjhsvr_high1.conf
nosiclin 12521     1  0 13:47 pts/1    00:00:00 ./bin/lottery -f ./conf/lottery.conf
nosiclin 12522     1  0 13:47 pts/1    00:00:00 ./bin/speaker -f ./conf/speaker.conf
nosiclin 12523     1  0 13:47 pts/1    00:00:00 ./bin/allkill -f ./conf/allkill.conf
nosiclin 12524     1  0 13:47 pts/1    00:00:00 ./bin/beauty -f ./conf/beauty.conf
root     12601  1870  0 13:48 ?        00:00:00 sshd: nosiclin [priv]
nosiclin 12607 12601  0 13:48 ?        00:00:00 sshd: nosiclin@pts/2
nosiclin 12608 12607  0 13:48 pts/2    00:00:00 -bash
nosiclin 12810 12349  0 14:02 pts/1    00:00:00 vim XtBeautyGame.cc
nosiclin 12828 12608  0 14:05 pts/2    00:00:00 /bin/bash ./status.sh
nosiclin 12830 12828  0 14:05 pts/2    00:00:00 ps -Af
